alpha_pt,omega,alpha,mse_best,source
0.5,0.0,0.2425423728813559,0.7222072114842631,imperfect_pt
0.5,0.0,0.25084745762711863,0.6896944484053316,imperfect_pt
0.5,0.0,0.2591525423728813,0.6575746445205363,imperfect_pt
0.5,0.0,0.26745762711864407,0.6259038568818966,imperfect_pt
0.5,0.0,0.27576271186440676,0.5947355248392515,imperfect_pt
0.5,0.0,0.28406779661016945,0.5641218780372207,imperfect_pt
0.5,0.0,0.2923728813559322,0.5341146872981394,imperfect_pt
0.5,0.0,0.3006779661016949,0.5047651203782885,imperfect_pt
0.5,0.0,0.3089830508474576,0.47612220882599876,imperfect_pt
0.5,0.0,0.31728813559322033,0.44823215106266817,imperfect_pt
0.5,0.0,0.325593220338983,0.42113616053096375,imperfect_pt
0.5,0.0,0.3338983050847457,0.39486866606394533,imperfect_pt
0.5,0.0,0.34220338983050846,0.3694570476708061,imperfect_pt
0.5,0.0,0.35050847457627116,0.3449238087435249,imperfect_pt
0.5,0.0,0.35881355932203385,0.3212897484238466,imperfect_pt
0.5,0.0,0.3671186440677966,0.29857629950489106,imperfect_pt
0.5,0.0,0.3754237288135593,0.2768051453882161,imperfect_pt
0.5,0.0,0.383728813559322,0.2559957033249658,imperfect_pt
0.5,0.0,0.3920338983050847,0.23616254324559308,imperfect_pt
0.5,0.0,0.4003389830508474,0.21731588235064447,imperfect_pt
0.5,0.0,0.4086440677966101,0.19946028642241764,imperfect_pt
0.5,0.0,0.41694915254237286,0.18259098342835045,imperfect_pt
0.5,0.0,0.42525423728813555,0.166697826623592,imperfect_pt
0.5,0.0,0.4335593220338983,0.1517709500325322,imperfect_pt
0.5,0.0,0.441864406779661,0.13780295148312222,imperfect_pt
0.5,0.0,0.4501694915254237,0.12478314984494177,imperfect_pt
0.5,0.0,0.45847457627118643,0.11269204935552689,imperfect_pt
0.5,0.0,0.4667796610169491,0.10150025220486167,imperfect_pt
0.5,0.0,0.4750847457627118,0.09117418574401846,imperfect_pt
0.5,0.0,0.48338983050847456,0.0816806873360553,imperfect_pt
0.5,0.0,0.49169491525423725,0.07298728369819632,imperfect_pt
0.5,0.0,0.5,0.0650599946282671,imperfect_pt
1.0,0.0,0.01,1.1320920702879287,imperfect_pt
1.0,0.0,0.01830508474576271,1.2508230441981518,imperfect_pt
1.0,0.0,0.02661016949152542,1.3801014188069727,imperfect_pt
1.0,0.0,0.03491525423728813,1.500042452253112,imperfect_pt
1.0,0.0,0.043220338983050846,1.583119606992762,imperfect_pt
1.0,0.0,0.05152542372881356,1.6206249515172264,imperfect_pt
1.0,0.0,0.059830508474576265,1.6234853369067226,imperfect_pt
1.0,0.0,0.06813559322033898,1.604921868254502,imperfect_pt
1.0,0.0,0.07644067796610168,1.5739855127914195,imperfect_pt
1.0,0.0,0.08474576271186439,1.5360377348452574,imperfect_pt
1.0,0.0,0.09305084745762711,1.49415314913846,imperfect_pt
1.0,0.0,0.10135593220338981,1.4500880383204242,imperfect_pt
1.0,0.0,0.10966101694915252,1.4048555274769412,imperfect_pt
1.0,0.0,0.11796610169491524,1.359058433117614,imperfect_pt
1.0,0.0,0.12627118644067795,1.3130649624170436,imperfect_pt
