label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.3968421052631579,2.0439129510369597e-10,0.0003175907880522393,2.0439129510369597e-10,61.914055013873906,6.440068389987162e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.4226315789473684,3.349089661063076e-11,0.00023321667349569895,3.349089661063076e-11,68.42832821937579,2.4613115483736292e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.44842105263157894,5.4359510288154585e-12,0.00017533259262581652,5.4359510288154585e-12,75.08587119100994,1.000026337566776e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.47421052631578947,7.733838503381194e-13,0.00013414345750436632,7.733838503381194e-13,82.39174396976338,4.3246676960549945e-06,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.5,7.022338818676539e-14,0.00010400804999935829,7.022338818676539e-14,91.70585174282024,1.9998455457122914e-06,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.01,7.021098715975979e-14,7.021098715975979e-14,1.022393920969395,131.63213179343086,9.999739281072486e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.035789473684210524,0.8162080319100753,0.8162080319100753,0.8162080933978637,3.271691182415992e-07,9.911959473640763e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.06157894736842105,0.6208168026538686,0.620822746666935,0.6208168026538686,4.1581344224272954e-05,9.125591354042228e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.08736842105263157,0.4542812688689875,0.45429501679097284,0.4542812688689875,0.00013142862631454477,9.667181896233501e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.1131578947368421,0.32214118302821376,0.3221668860335788,0.32214118302821376,0.0003465011208234614,9.762332025653464e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.13894736842105262,0.22229601488572462,0.22233570349405296,0.22229601488572462,0.0007753177708513803,9.108562278581367e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.16473684210526315,0.14974241179918482,0.14980275673886534,0.14974241179918482,0.0017498178853294633,9.983983178118994e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.19052631578947368,0.09900530386470392,0.09908618713391502,0.09900530386470392,0.0035465591451426803,9.774640427917536e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.2,0.084789974656476,0.08487975134351305,0.084789974656476,0.0045959316775743275,9.90127524951312e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.2163157894736842,0.0648325838850827,0.06493345008993295,0.0648325838850827,0.006751480901026952,9.420742660382064e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.24210526315789474,0.04252739875598644,0.042632654548912054,0.04252739875598644,0.01073555770789092,9.441642161600594e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.26789473684210524,0.028230986700481502,0.02832899074409791,0.028230986700481502,0.01505045081934675,9.934761407642823e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.29368421052631577,0.019097390526650892,0.019183834246897236,0.019097390526650892,0.019613841892937245,9.920134697066763e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.3,0.01741152532174576,0.017496162962500558,0.01741152532174576,0.02105996368006302,9.888300763022384e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.3194736842105263,0.01320586726318399,0.013283730597279973,0.01320586726318399,0.025531315279621936,9.873066442428469e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.3452631578947368,0.009339612984705266,0.009405835745055208,0.009339612984705266,0.030685100641253626,9.375280973966671e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.37105263157894736,0.006743347722109877,0.006803789843403132,0.006743347722109877,0.038753358490421164,9.709006500782658e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.3968421052631579,2.0507023490933817e-10,0.005015401038401879,2.0507023490933817e-10,73.88403036625154,6.471223887220739e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.4226315789473684,3.35225712670524e-11,0.0037597678229509554,3.35225712670524e-11,80.49823704021604,2.4661302037116316e-05,103.40622748396568,0.0025000000000000005,1e-06
w1.0_apt1.0_s00.05,imperfect,1.0,1.0,0.05,0.44842105263157894,5.436156102681901e-12,0.00285972473353234,5.436156102681901e-12,87.21032312287198,1.00078357091388e-05,103.40622748396568,0.0025000000000000005,1e-06
